# ----------------------------------------
# Landing pages
# Account: UAGC
# Property: UAGC - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250612
# End date: 20250731
Landing page + query string,Views,Sessions,Average session duration,User key event rate,Key events
/online-degrees/masters,14814,3989,2013.5110820491352,0.022248708780294002,73
/online-degrees/business,10540,2577,1967.752600041909,0.014951627088830254,26
/online-degrees/bachelors,9754,2165,1910.4925775367208,0.01684981684981685,35
/online-degrees/health-care,4718,1275,2649.199376082353,0.006279434850863423,7
/online-degrees/social-behavioral-science,4602,1194,1761.4709671390285,0.016793893129770993,25
/online-degrees/information-technology,4016,1114,2546.997061880611,0.01282051282051282,13
/online-degrees/masters/business-administration,3874,1710,1686.9085697239766,0.017167381974248927,24
/online-degrees/emphases,3833,912,1902.3110741458331,0.009508716323296355,11
/online-degrees/education,3702,860,1972.6419516883718,0.01775147928994083,16
/online-degrees/bachelors/business-administration,3196,1314,1608.9693187267885,0.01972386587771203,26
/online-degrees/bachelors/criminal-justice,3034,817,2467.2529200575273,0.03264604810996564,29
/online-degrees/bachelors/psychology,3010,1219,1480.9661958769484,0.03293084522502744,45
/online-degrees/comparison,2918,405,1877.6536426691355,0.006557377049180328,5
/online-degrees/criminal-justice,2716,714,2274.3907845910367,0.013761467889908258,8
/online-degrees/bachelors/health-care-administration,2496,1117,1416.796091764548,0.02447980416156671,32
/online-degrees/doctoral/psychology,2452,1098,777.5597110765028,0.019161676646706587,19
/online-degrees/bachelors/human-resources-management,2376,886,1134.0418806591422,0.013853904282115869,14
/online-degrees/find-your-degree,2346,595,2380.913627956302,0.0497131931166348,37
/online-degrees/associate/business,2336,1122,1153.1296224830662,0.029157667386609073,37
/online-degrees/associate,2158,635,1660.956362683465,0.0262582056892779,14
/online-degrees/masters/organizational-management,2139,936,1458.9053764839748,0.013937282229965157,8
/online-degrees/bachelors/cyber-data-security-technology,2029,871,1575.4836667979337,0.02472952086553323,18
/online-degrees/bachelors/applied-behavioral-science,1891,777,1462.8234543371943,0.02857142857142857,27
/online-degrees/masters/psychology,1754,739,1279.744614922869,0.01675041876046901,15
/online-degrees/associate/early-childhood-education,1671,571,1442.571093908932,0.030303030303030304,25
/online-degrees/program-disclosures,1512,351,4958.9368573874635,0,0
/online-degrees/bachelors/project-management,1479,565,1418.5913674336284,0.026634382566585957,16
/online-degrees/bachelors/information-technology,1397,500,1730.260341992,0.023121387283236993,9
/online-degrees/bachelors/health-information-management,1396,591,1119.9252415939086,0.014957264957264958,9
/online-degrees/bachelors/accounting,1377,549,2571.892556739526,0.010050251256281407,6
/online-degrees/bachelors/nursing,1292,477,1470.7101754360592,0.04567307692307692,22
/online-degrees/specializations/sport-performance-psychology,1227,450,991.4233444444443,0.010582010582010581,6
/online-degrees/masters/health-informatics-analytics,1220,494,1088.3166605789474,0.025252525252525252,12
/online-degrees/bachelors/business-leadership,1217,499,1073.5097744348698,0.01078167115902965,9
/online-degrees/bachelors/homeland-security-emergency-management,1179,559,1230.9447509803222,0.03333333333333333,23
/online-degrees/bachelors/early-childhood-education,1147,472,1555.6316524067797,0.019801980198019802,9
/online-degrees/masters/technology-management,1094,576,1256.6480074218753,0.014925373134328358,6
/online-degrees/masters/health-care-administration,1063,440,1215.671684725,0.027522935779816515,16
/online-degrees/masters/information-systems-management,1034,508,1334.500373141732,0.0027472527472527475,1
/online-degrees/bachelors/finance,1020,474,1626.5319363881858,0.014749262536873156,7
/online-degrees/doctoral,1010,335,1206.6191041761194,0.004098360655737705,1
/online-degrees/bachelors/computer-software-technology,992,426,2332.0918981877935,0.013793103448275862,14
/online-degrees/bachelors/organizational-management,991,511,1443.9257979315066,0.019390581717451522,9
/online-degrees/bachelors/operations-management-analysis,904,416,1743.8011100769231,0.00980392156862745,4
/online-degrees/masters/human-resource-management,872,411,1051.890686160584,0.009523809523809525,3
/online-degrees/bachelors/instructional-design,861,368,809.3334740407607,0.0380952380952381,14
/online-degrees/masters/human-services,842,387,990.3120304263564,0.01639344262295082,6
/online-degrees/bachelors/business-information-systems,829,337,1762.821644991098,0.012048192771084338,3
/online-degrees/bachelors/liberal-arts,799,338,1347.6249003224852,0.02127659574468085,8
/online-degrees/doctoral/organizational-leadership,745,380,2981.992517092104,0,0
/online-degrees/masters/public-health,714,326,1614.4100590950918,0.00881057268722467,2
/online-degrees/bachelors/child-development,704,324,710.1972794876543,0.042801556420233464,14
/online-degrees/bachelors/health-human-services,701,320,1121.7286916281248,0.019083969465648856,5
/online-degrees/bachelors/marketing,697,363,913.0872701487604,0.01090909090909091,8
/online-degrees/masters/education,675,331,1658.6070576706952,0.011406844106463879,4
/online-degrees/associate/organizational-management,667,293,1153.9232260580204,0.012448132780082987,3
/online-degrees/liberal-arts,663,211,761.2870375402845,0.010309278350515464,2
/online-degrees/masters/early-childhood-education-leadership,662,317,1768.9916114605678,0.027932960893854747,5
"/online-degrees/business?sourceid=18SGB&affiliateID=&clickid=&utm_vendor=&alr=21995198608&adgroup=&ad=&match=&device=m&c3api=2591,,&sourceid=18SGB&dsaccountid=700000002770196&dsaccounttype=GOOGLE",647,566,529.5440112526503,0,0
/online-degrees/associate/military-studies,629,147,1219.050098272109,0.007462686567164179,1
/online-degrees/bachelors/education-studies,583,250,735.365583612,0.02252252252252252,7
/online-degrees/associate-v8,577,196,1128.0232051020407,0.011976047904191617,2
/online-degrees/masters/finance,559,245,669.8522834734695,0.014705882352941176,3
/online-degrees/masters/criminal-justice,536,240,1533.8475350583333,0.01015228426395939,3
/online-degrees/masters/human-resources-management-v2,535,236,922.1026821186441,0.009478672985781991,2
/online-degrees/specializations/standard-doctorate-organizational-development-leadership-program,499,170,803.1537396882351,0.012738853503184714,2
/online-degrees/specializations/criminology-justice-studies,496,141,790.2480079503547,0.008130081300813009,1
/online-degrees/emphasis/artificial-intelligence,487,133,1856.1887296240602,0,0
/online-degrees/masters/business-administration-v2,446,229,762.3690525633189,0.010869565217391304,4
/online-degrees/masters/accounting,440,191,2424.806245785341,0.006944444444444444,1
/online-degrees/bachelors/early-childhood-education-administration,408,173,903.4689215202313,0.02564102564102564,4
/online-degrees/certificates/post-baccalaureate-teaching,398,184,1298.9840722119566,0.012121212121212121,2
/online-degrees/bachelors/early-childhood-development-differentiated-instruction,374,140,1577.9943953714285,0.02564102564102564,3
/online-degrees/masters/psychology-v2,334,182,1274.4915680274726,0.013071895424836602,2
/online-degrees/masters/instructional-design-technology,333,159,645.2335394339622,0.008,6
/online-degrees/bachelors/sociology,325,214,875.3149536355139,0.012422360248447204,3
/online-degrees/associate-v7,308,80,1308.9143373000002,0.05714285714285714,5
