# ----------------------------------------,,,,,
# Landing pages,,,,,
# Account: UAGC,,,,,
# Property: UAGC - GA4,,,,,
# ----------------------------------------,,,,,
# ,,,,,
# All Users,,,,,
# Start date: 20250708,,,,,
# End date: 20250804,,,,,
Landing page + query string,Views,Sessions,Average session duration,Request_information_submit_ rate,Key event: Request_information_submit
/online-degrees/masters,8135,2271,1992.642463,0.020763563,39
/online-degrees/bachelors,6546,1272,1929.155544,0.019253911,27
/online-degrees/business,5942,1460,2051.744257,0.011560694,16
/online-degrees/social-behavioral-science,2564,658,2110.251252,0.019512195,16
/online-degrees/health-care,2481,675,2713.980867,0.008219178,3
/online-degrees/emphases,2364,560,2154.610052,0.007832898,3
/online-degrees/masters/business-administration,2183,992,2062.625768,0.018376723,12
/online-degrees/information-technology,2052,559,2137.021661,0.014124294,10
/online-degrees/education,1992,460,2077.80439,0.010169492,3
/online-degrees/bachelors/business-administration,1913,725,1876.073193,0.023214286,18
/online-degrees/bachelors/criminal-justice,1689,449,2633.995174,0.043918919,19
/online-degrees/bachelors/psychology,1539,601,1453.283627,0.040511727,23
/online-degrees/doctoral/psychology,1429,618,620.7537445,0.023012552,14
/online-degrees/bachelors/human-resources-management,1362,495,1250.56058,0.014018692,6
/online-degrees/bachelors/health-care-administration,1321,570,1707.259482,0.033653846,23
/online-degrees/criminal-justice,1273,357,1944.616025,0.018315018,5
/online-degrees/find-your-degree,1170,299,1988.37974,0.063909774,22
/online-degrees/bachelors/applied-behavioral-science,1094,483,1502.325443,0.025139665,13
/online-degrees/associate/business,1076,431,1611.557401,0.024464832,14
/online-degrees/associate,1062,394,1236.723814,0.019047619,11
/online-degrees/masters/organizational-management,1046,522,1646.283569,0.006410256,2
/online-degrees/bachelors/cyber-data-security-technology,961,455,1392.233187,0.019830028,9
/online-degrees/masters/psychology,903,377,1170.667663,0.015625,8
/online-degrees/associate/early-childhood-education,901,288,1836.568927,0.020661157,10
/online-degrees/specializations/sport-performance-psychology,806,292,1163.492115,0.008403361,2
/online-degrees/bachelors/early-childhood-education,750,285,1807.662803,0.020920502,5
/online-degrees/bachelors/health-information-management,733,330,1409.486625,0.022556391,8
"/online-degrees/business?sourceid=18SGB&affiliateID=&clickid=&utm_vendor=&alr=21995198608&adgroup=&ad=&match=&device=m&c3api=2591,,&sourceid=18SGB&dsaccountid=700000002770196&dsaccounttype=GOOGLE&gad_campaignid=21991354265",724,674,635.8124558,0,0
/online-degrees/bachelors/accounting,719,300,2688.197086,0.008928571,2
/online-degrees/bachelors/information-technology,719,264,1541.108837,0.016129032,3
/online-degrees/program-disclosures,706,191,4624.283215,0,0
/online-degrees/bachelors/nursing,672,240,1060.987775,0.047619048,15
/online-degrees/bachelors/project-management,667,290,1347.499748,0.018691589,5
/online-degrees/bachelors/business-leadership,654,287,939.6150367,0.004484305,1
/online-degrees/masters/technology-management,630,329,1507.342324,0.013452915,3
/online-degrees/comparison,612,230,2096.350451,0.005813953,2
/online-degrees/bachelors/organizational-management,610,296,1617.062318,0.01843318,6
/online-degrees/masters/health-care-administration,602,219,1633.441479,0.037037037,8
/online-degrees/masters/health-informatics-analytics,593,270,798.0540716,0.028301887,6
/online-degrees/masters/information-systems-management,576,284,1374.357977,0,0
/online-degrees/bachelors/finance,573,232,2070.363182,0.006622517,1
/online-degrees/doctoral,548,203,1046.328514,0,0
/online-degrees/bachelors/computer-software-technology,546,212,1844.077292,0.025157233,5
/online-degrees/masters/human-services,535,254,963.5228113,0.00913242,3
/online-degrees/bachelors/homeland-security-emergency-management,508,236,1465.886791,0.022988506,5
/online-degrees/bachelors/business-information-systems,498,192,2327.073525,0.015384615,2
/online-degrees/bachelors/instructional-design,497,197,638.6272225,0.041176471,9
/online-degrees/bachelors/operations-management-analysis,472,245,1676.438368,0.005747126,1
/online-degrees/bachelors/marketing,457,217,1235.233227,0.024539877,10
/online-degrees/masters/finance,452,207,727.5115463,0.012578616,2
/online-degrees/bachelors/child-development,444,192,2175.794046,0.062937063,12
/online-degrees/masters/early-childhood-education-leadership,433,174,1942.966148,0.038461538,4
/online-degrees/masters/human-resource-management,430,212,738.5320307,0.012269939,2
/online-degrees/bachelors/health-human-services,411,202,1099.566764,0.026666667,4
/online-degrees/bachelors/liberal-arts,360,177,1675.644946,0.006896552,1
