# ----------------------------------------,,,,,
# Landing pages,,,,,
# Account: UAGC,,,,,
# Property: UAGC - GA4,,,,,
# ----------------------------------------,,,,,
# ,,,,,
# All Users,,,,,
# Start date: 20250610,,,,,
# End date: 20250707,,,,,
Landing page + query string,Views,Sessions,Average session duration,Request_information_submit_ rate,Key event: Request_information_submit
/online-degrees/masters,8344,2131,2059.151917,0.025604552,46
/online-degrees/business,6022,1450,1938.894413,0.012875536,10
/online-degrees/bachelors,4658,1217,2093.502899,0.015189873,13
/online-degrees/health-care,2814,739,2645.075042,0.007317073,6
/online-degrees/social-behavioral-science,2682,678,1872.666523,0.010230179,10
/online-degrees/comparison,2481,216,1646.452775,0.005649718,3
/online-degrees/information-technology,2378,671,2720.214035,0.012437811,5
/online-degrees/masters/business-administration,2258,936,1303.406965,0.01317716,13
/online-degrees/education,2059,491,1823.705966,0.025477707,16
/online-degrees/emphases,1927,478,1718.150603,0.008426966,8
/online-degrees/bachelors/business-administration,1748,737,1442.010037,0.015463918,10
/online-degrees/criminal-justice,1726,433,2412.978878,0.015564202,6
/online-degrees/bachelors/psychology,1722,707,1533.233827,0.02443609,23
/online-degrees/bachelors/criminal-justice,1667,472,2333.97607,0.022222222,12
/online-degrees/associate/business,1602,928,716.7240255,0.022754491,23
/online-degrees/bachelors/health-care-administration,1507,679,1126.064516,0.013565891,10
/online-degrees/find-your-degree,1430,334,2685.92635,0.030405405,15
/online-degrees/associate,1411,354,2066.44342,0.02811245,7
/online-degrees/bachelors/human-resources-management,1375,522,1209.360579,0.014799154,10
/online-degrees/doctoral/psychology,1315,601,1048.272262,0.013303769,6
/online-degrees/bachelors/cyber-data-security-technology,1306,512,1691.88864,0.027989822,11
/online-degrees/masters/organizational-management,1235,507,1297.268508,0.017751479,6
/online-degrees/bachelors/applied-behavioral-science,1060,404,1336.373362,0.039156627,19
/online-degrees/masters/psychology,1039,466,1347.719907,0.019662921,9
/online-degrees/bachelors/project-management,995,349,1494.836014,0.034883721,13
/online-degrees/program-disclosures,975,198,5539.195269,0,0
