page,sessions_pre,conversions_pre,sessions_post,conversions_post
/online-degrees/business,1450,10,1460,16
/online-degrees/health-care,739,6,675,3
/online-degrees/social-behavioral-science,678,10,658,16
/online-degrees/information-technology,671,5,559,10
/online-degrees/masters/business-administration,936,13,992,12
/online-degrees/education,491,16,460,3
/online-degrees/bachelors/business-administration,737,10,725,18
/online-degrees/criminal-justice,433,6,357,5
/online-degrees/bachelors/psychology,707,23,601,23
/online-degrees/bachelors/criminal-justice,472,12,449,19
/online-degrees/associate/business,928,23,431,14
/online-degrees/bachelors/health-care-administration,679,10,570,23
/online-degrees/bachelors/human-resources-management,522,10,495,6
/online-degrees/bachelors/cyber-data-security-technology,512,11,455,9
/online-degrees/masters/organizational-management,507,6,522,2
/online-degrees/bachelors/applied-behavioral-science,404,19,483,13
/online-degrees/masters/psychology,466,9,377,8
/online-degrees/bachelors/project-management,349,13,290,5
/online-degrees/masters/health-informatics-analytics,282,6,270,6
/online-degrees/bachelors/nursing,303,11,240,15
/online-degrees/bachelors/business-leadership,251,9,287,1
/online-degrees/bachelors/information-technology,280,6,264,3
/online-degrees/bachelors/homeland-security-emergency-management,372,19,236,5
/online-degrees/bachelors/health-information-management,303,1,330,8
/online-degrees/bachelors/accounting,288,5,300,2
/online-degrees/masters/information-systems-management,278,1,284,0
/online-degrees/bachelors/computer-software-technology,290,10,212,5
/online-degrees/masters/technology-management,309,3,329,3
/online-degrees/associate/military-studies,120,1,45,0
/online-degrees/masters/human-resource-management,246,1,212,2
/online-degrees/bachelors/finance,279,6,232,1
/online-degrees/bachelors/early-childhood-education,257,5,285,5
/online-degrees/masters/health-care-administration,262,9,219,8
/online-degrees/bachelors/operations-management-analysis,217,4,245,1
/online-degrees/bachelors/organizational-management,277,4,296,6
/online-degrees/masters/human-services,220,4,254,3
/online-degrees/bachelors/liberal-arts,183,8,177,1
/online-degrees/bachelors/business-information-systems,192,1,192,2
/online-degrees/masters/public-health,183,1,173,2
/online-degrees/bachelors/child-development,186,3,192,12
/online-degrees/bachelors/instructional-design,196,5,197,9
/online-degrees/liberal-arts,124,1,110,1
/online-degrees/masters/education,199,5,151,2
/online-degrees/associate/organizational-management,155,1,170,2
/online-degrees/bachelors/marketing,186,3,217,10
/online-degrees/bachelors/health-human-services,140,1,202,4
/online-degrees/masters/criminal-justice,141,4,121,0
/online-degrees/bachelors/education-studies,146,2,122,5
/online-degrees/bachelors/early-childhood-education-administration,106,3,86,2
/online-degrees/masters/early-childhood-education-leadership,168,2,174,4
/online-degrees/certificates/post-baccalaureate-teaching,127,1,100,1
/online-degrees/masters/accounting,115,0,102,1
/online-degrees/masters/finance,109,1,207,2
/online-degrees/masters/instructional-design-technology,104,6,68,0
/online-degrees/bachelors/sociology,133,3,102,0
/online-degrees/bachelors/early-childhood-development-differentiated-instruction,70,2,85,1
/online-degrees/masters/special-education,73,0,77,2
